run_id,run_mode,run_status,run_started_at,run_completed_at,records_fetched,records_valid,records_quarantined,records_duplicate,quarantine_rate,duplicate_rate,http_requests,http_retries,duration_seconds
run-20260913T140817-deb25f,full,success,2026-09-13T14:08:17Z,2026-09-13T14:08:21Z,352,349,3,5,0.008522727272727272,0.014204545454545454,4,0,4.719000000000051
run-20260913T140827-a4ce36,incremental,success,2026-09-13T14:08:27Z,2026-09-13T14:08:28Z,17,15,2,0,0.11764705882352941,0.0,1,0,0.6089999999999236
